Rank,Title,Director,Year,Production Companies,Change from 1998,Alternate Title
64,Network,Sidney Lumet,1976,Metro-Goldwyn-Mayer,2,Network (1976)
65,The African Queen,John Huston,1951,"Horizon Enterprises, Romulus Films",48,The African Queen (1951)
66,Raiders of the Lost Ark,Steven Spielberg,1981,Lucasfilm,6,Raiders of the Lost Ark (1981)
67,Who's Afraid of Virginia Woolf?,Mike Nichols,1966,"Chenault Productions, Warner Bros.",NEW,Who's Afraid of Virginia Woolf? (1966)
68,Unforgiven,Clint Eastwood,1992,The Malpaso Company,30,Unforgiven (1992)
69,Tootsie,Sydney Pollack,1982,"Mirage Enterprises, Punch Productions, Columbia Pictures, Delphi Productions",7,Tootsie (1982)
70,A Clockwork Orange,Stanley Kubrick,1971,"Polaris Productions, Hawk Films",24,A Clockwork Orange (1971)
71,Saving Private Ryan,Steven Spielberg,1998,"Amblin Entertainment, Mutual Film Company",NEW,Saving Private Ryan (1998)
72,The Shawshank Redemption,Frank Darabont,1994,Castle Rock Entertainment,NEW,The Shawshank Redemption (1994)
73,Butch Cassidy and the Sundance Kid,George Roy Hill,1969,Campanile Productions,23,Butch Cassidy and the Sundance Kid (1969)
74,The Silence of the Lambs,Jonathan Demme,1991,Strong Heart Productions,9,The Silence of the Lambs (1991)
75,In the Heat of the Night,Norman Jewison,1967,The Mirisch Corporation,NEW,In the Heat of the Night (1967)
76,Forrest Gump,Robert Zemeckis,1994,The Tisch Company,5,Forrest Gump (1994)
77,All the President's Men,Alan J. Pakula,1976,Wildwood Enterprises,NEW,All the President's Men (1976)
78,Modern Times,Charlie Chaplin,1936,Charles Chaplin Film Corp.,3,Modern Times (1936)
79,The Wild Bunch,Sam Peckinpah,1969,"Phil Feldman Productions, Warner Bros.-Seven Arts",1,The Wild Bunch (1969)
80,The Apartment,Billy Wilder,1960,The Mirisch Company,13,The Apartment (1960)
81,Spartacus,Stanley Kubrick,1960,"Bryna Productions, Universal-International Pictures",NEW,Spartacus (1960)
82,Sunrise: A Song of Two Humans,F. W. Murnau,1927,Fox Film,NEW,Sunrise: A Song of Two Humans (1927)
83,Titanic,James Cameron,1997,"Paramount Pictures, 20th Century-Fox, Lightstorm Entertainment",NEW,Titanic (1997)
84,Easy Rider,Dennis Hopper,1969,"The Pando Company, Raybert Productions",4,Easy Rider (1969)
85,A Night at the Opera,Sam Wood,1935,Metro-Goldwyn-Mayer,NEW,A Night at the Opera (1935)
86,Platoon,Oliver Stone,1986,Hemdale Film Corporation,3,Platoon (1986)
87,12 Angry Men,Sidney Lumet,1957,Orion-Nova Productions,NEW,12 Angry Men (1957)
